"slug","name","url","description","language","topics","stars","created_at","updated_at","archived","has_readme"
"schemacrawler-deb","schemacrawler-deb","https://github.com/adriens/schemacrawler-deb","Debian package for schemacrawler","Shell","schemacrawler, debian, deb, package, installer","10","2014-08-20","2025-04-13","False","True"
"schemacrawler-snapcraft","schemacrawler-snapcraft","https://github.com/adriens/schemacrawler-snapcraft","A first attempt to create a java snap package","Shell","","4","2018-11-01","2025-04-13","False","True"
"schemacrawler-plugin-neo4j","schemacrawler-plugin-neo4j","https://github.com/adriens/schemacrawler-plugin-neo4j","A plugin to dump database schemas into neo4j graph database (to draw and query it)","Java","","8","2015-07-07","2025-04-13","False","True"
"mobitag","mobitag","https://github.com/adriens/mobitag","A first GO cli to send mobitags/sms in New-Caledonia","Go","geek, golang, golang-application, hackathon, learning-by-doing, nerd, side, sms, sms-client, weekend-project, hackathon-p, innovation, innovationlab, proof-of-concept","1","2024-06-22","2025-03-26","False","True"
"api-forfaits-opt","api-forfaits-opt","https://github.com/adriens/api-forfaits-opt","Une API pour les forfaits telecom de l'OPT-NC","HTML","","0","2024-12-08","2025-03-06","False","True"
"temps-attente-matrix-led","temps-attente-matrix-led","https://github.com/adriens/temps-attente-matrix-led","Un projet de dataviz sur Matrice LED drivée par les données de temps d'attente de l'OPT-NC","Python","api, hackster, iot, iot-application, led, leds","0","2024-09-20","2025-03-03","False","True"
"eol","eol","https://github.com/adriens/eol","A go client for eols (DEV.to githubchallenge )","Go","","0","2025-01-11","2025-01-13","False","True"
"odata-ma-liste-cadeau-nc","odata-ma-liste-cadeau-nc","https://github.com/adriens/odata-ma-liste-cadeau-nc","🛍️ Partenaires Ma Liste Cadeau NC","","csv, nouvelle-caledonie, opendata","0","2024-12-26","2024-12-29","False","True"
"odata-cncf-endoflife-date","odata-cncf-endoflife-date","https://github.com/adriens/odata-cncf-endoflife-date","An initiative to link together CNCF landscape dataset and https://endoflife.date/","","","0","2024-09-15","2024-09-15","False","True"
"opt-nc-parole-agent","opt-nc-parole-agent","https://github.com/adriens/opt-nc-parole-agent","Paroles d'agent OPT-NC - Adrien SALES","","","0","2024-08-24","2024-08-24","False","True"
"pdc2024-violences","pdc2024-violences","https://github.com/adriens/pdc2024-violences","Dédié à mes soumissions pour le Pacific Dataviz Challenge 2024","","","0","2024-07-06","2024-08-14","False","True"
"declaration-solennelle-louis-mapou-2024-06-08-data","declaration-solennelle-louis-mapou-2024-06-08-data","https://github.com/adriens/declaration-solennelle-louis-mapou-2024-06-08-data","Dataviz DECLARATION SOLENNELLE DU 2024-06-08 - LOUIS MAPOU","","data-analysis, datavisualization, dataviz, dataviz-tools, gephi, gephi-visualizations, new-caledonia, nouvelle-caledonie, storytelling","0","2024-06-08","2024-06-09","False","True"
"odata-women-granted-open-bank-account","odata-women-granted-open-bank-account","https://github.com/adriens/odata-women-granted-open-bank-account","A public dataset that tells when women were granted the right to open a bank account on their own","","csv, gender-equality, open-data, women-empowerment","0","2024-03-17","2024-05-04","False","True"
"odata-women-suffrage-dates","odata-women-suffrage-dates","https://github.com/adriens/odata-women-suffrage-dates","Open Data for women suffrage dates","","countries, csv-files, democracy, gender-equality, open-data, opendata, suffrage, women, kaggle, kaggle-dataset, kaggle-notebook, women-empowerment","0","2024-03-16","2024-04-24","False","True"
"odata-fiches-emploi-ncl","odata-fiches-emploi-ncl","https://github.com/adriens/odata-fiches-emploi-ncl","Le répertoire des emplois de Nouvelle-Calédonie, en data","","jobs, newcaledonia, opendata, csv","0","2024-03-22","2024-03-22","False","True"
"template-a3-process-problem-solving","template-a3-process-problem-solving","https://github.com/adriens/template-a3-process-problem-solving","A markdown ePub template to help around ""A3 Process and Problem Solving""","CSS","","0","2023-10-29","2023-10-30","False","True"
"nodes23-data","nodes23-data","https://github.com/adriens/nodes23-data","A set of ready to use data around nodes23","Cypher","","0","2023-09-17","2023-09-18","False","True"
"pacific-dataviz-challenge","pacific-dataviz-challenge","https://github.com/adriens/pacific-dataviz-challenge","Repo dedicated to #PacificDatavizChallenge","","","0","2023-09-15","2023-09-16","False","True"
"yamabushis-horizons","yamabushis-horizons","https://github.com/adriens/yamabushis-horizons","Richard Nadler masterpiece","","","0","2023-07-15","2023-07-22","False","True"
"chocolatey-liquibase","chocolatey-liquibase","https://github.com/adriens/chocolatey-liquibase","Liquibase Chocolatey package sources","","liquibase, chocolatey, db, database, change-management, windows, devops, devops-tools","0","2019-02-16","2023-07-17","False","True"
"street-workout-nc","street-workout-nc","https://github.com/adriens/street-workout-nc","💪 The place for Wildbarz's street workout New-Caledonia's athletes data","","calisthenics, calisthenics-rules, data-visualization, datascience, sports, sports-analytics, sports-scores, sports-stats, street-workout, noumea, nouvelle-caledonie, duckdb-database, jupyter-notebook, wildbarz","0","2023-06-24","2023-06-25","False","True"
"odata-eaux-baignade-noumea","odata-eaux-baignade-noumea","https://github.com/adriens/odata-eaux-baignade-noumea","Experience Open Data de la qualité des eaux de baignade à Nouméa, Nouvelle-calédonie","","csv, csv-files, datascience, duckdb, kaggle, newcaledonia, noumea, nouvelle-caledonie, opendata, python","0","2023-03-09","2023-06-17","False","True"
"dev-to-slideshow","dev-to-slideshow","https://github.com/adriens/dev-to-slideshow","A pure web slideshow for DEV.to lovers","Vue","","0","2023-03-24","2023-06-12","True","True"
"cine-city-noumea-api","cine-city-noumea-api","https://github.com/adriens/cine-city-noumea-api","API REST pour interagir avec http://www.cinecity.nc","Java","spring-boot, cine-city, noumea, api, films, spring-boot-2","0","2018-03-03","2023-05-21","True","True"
"test","test","https://github.com/adriens/test","","","","0","2023-05-05","2023-05-05","False","False"
"endoflife-date-neo4j","endoflife.date-neo4j","https://github.com/adriens/endoflife.date-neo4j","A set of Neo4J resources around endoflife.date data","Cypher","","1","2022-12-12","2023-04-11","False","True"
"odata-structures-innovation-sur-le-territoire","odata-structures-innovation-sur-le-territoire","https://github.com/adriens/odata-structures-innovation-sur-le-territoire","dédié au jeu de données Open Data structures-dinnovation-sur-le-territoire-non-exhaustif-newmodel de la Caisse des Dépôts.","","","0","2023-03-19","2023-03-19","False","True"
"odata-data-gouv-nc","odata-data-gouv-nc","https://github.com/adriens/odata-data-gouv-nc","Jeux de donneés utilitaires pou data.gouv.nc","","","0","2023-03-11","2023-03-11","False","True"
"my-opt-temps-attente-agences-api","my-opt-temps-attente-agences-api","https://github.com/adriens/my-opt-temps-attente-agences-api","API REST des temps d'attente en agence OPT.nc","Java","","1","2020-03-09","2023-02-28","False","True"
"schemacrawler-plugin-dashboard","schemacrawler-plugin-dashboard","https://github.com/adriens/schemacrawler-plugin-dashboard","Schemacrawler plugin that exports lint reports as csv","Java","","1","2017-07-19","2023-01-28","True","True"
