"slug","name","url","description","language","topics","stars","created_at","updated_at","archived","has_readme"
"information-schema-from-apoc","information-schema-from-apoc","https://github.com/adriens/information-schema-from-apoc","Some scripts to load INFORMATION_SCHEMA database structures from jdbc APOC procedures","","neo4j, apoc, postgresql","0","2018-08-22","2018-08-23","False","True"
"graph-fromages","graph-fromages","https://github.com/adriens/graph-fromages","Génération du graphe des fromages","JavaScript","","0","2018-07-03","2018-07-03","False","True"
"poc-dependabot-dashboard","poc-dependabot-dashboard","https://github.com/adriens/poc-dependabot-dashboard","","","","0","2018-05-29","2018-05-29","False","False"
"reorg-graph","reorg-graph","https://github.com/adriens/reorg-graph","Some test around organization and graphs","R","","0","2017-10-22","2018-05-20","False","True"
"r-blood-rhesus","R-blood-rhesus","https://github.com/adriens/R-blood-rhesus","A Rmarkdown report on blood rhesus","HTML","","0","2017-09-30","2018-05-15","False","True"
"my-cloud-connections","my-cloud-connections","https://github.com/adriens/my-cloud-connections","Datas about my cloud connections","","","1","2017-10-30","2018-04-30","False","True"
"presentation-lean-startup","presentation-lean-startup","https://github.com/adriens/presentation-lean-startup","Petite présentation d'un projet en mode WE","JavaScript","","0","2018-03-15","2018-04-11","False","True"
"mon-1012-nc","mon-1012.nc","https://github.com/adriens/mon-1012.nc","API REST sur 1012.nc","Java","","0","2018-04-03","2018-04-04","False","True"
"chocolatey-api","chocolatey-api","https://github.com/adriens/chocolatey-api","API to get chocolatey packages details in REST/json","Java","chocolatey, packages, rest, api","0","2018-03-20","2018-03-23","False","True"
"chocolatey-sdk","chocolatey-sdk","https://github.com/adriens/chocolatey-sdk","Java SDK to interact with chocolatey website","Java","chocolatey, java, sdk, webcrawler","0","2018-03-20","2018-03-23","False","True"
"slack-marketplace","slack-marketplace","https://github.com/adriens/slack-marketplace","Slack marketplace network","","","0","2017-11-30","2017-11-30","False","True"
"presentation-jenkins-vagrant","presentation-jenkins-vagrant","https://github.com/adriens/presentation-jenkins-vagrant","Slideshow that presents a devops approach on vagrant/jenins and introduces the benefits of a docker approach","CSS","","0","2017-10-31","2017-11-02","False","True"
"gexf-samples","gexf-samples","https://github.com/adriens/gexf-samples","Gexf data samples : a set of samples","","","0","2017-09-22","2017-09-22","False","True"
"neo4j-cuisine-nicoise","neo4j-cuisine-nicoise","https://github.com/adriens/neo4j-cuisine-nicoise","Graphe neo4j des recettes et ingrédients de la cuisine niçoise","","neo4j, recipes, cypher, recettes, cuisine, graph","0","2017-09-12","2017-09-13","False","True"
"exiftest","ExifTest","https://github.com/adriens/ExifTest","Dummy code samples around Exif and QrCode","Java","exif, qrcode, longitude, latitude, multipart, mail","0","2017-07-20","2017-07-21","False","True"
"oracle-jutils","oracle-jutils","https://github.com/adriens/oracle-jutils","Set of PL/SQL utility packages","","","0","2017-07-16","2017-07-16","False","True"
"cups4j","cups4j","https://github.com/adriens/cups4j","Pure Java CUPS implementation","Java","","0","2016-12-19","2016-12-20","False","True"
"files2neo4j","files2neo4j","https://github.com/adriens/files2neo4j","Dummy tool to generate a neo4j graph database from a a directory","Java","","0","2016-08-23","2016-08-23","False","True"
"schemacrawler-izpack","schemacrawler-izpack","https://github.com/adriens/schemacrawler-izpack","Izpack installer for schemacrawler. Primary target is Windows.","HTML","","0","2014-11-10","2016-04-15","False","True"
"schemacrawler-report-maven-plugin","SchemaCrawler-Report-Maven-Plugin","https://github.com/adriens/SchemaCrawler-Report-Maven-Plugin","","Java","","0","2016-02-10","2016-02-10","False","True"
