id,title,url,published_at,duration_seconds,views,likes,tags
BRyC0AcQzCo,🦑 Squid (caching) now on endoflife.date,https://youtu.be/BRyC0AcQzCo,2023-06-11,547,24,,
M9JAPYhNCVs,🏖️ Beach water quality datascience at Nouméa  - From Kaggle to opendata on GitHub 🧫,https://youtu.be/M9JAPYhNCVs,2023-06-08,1565,27,,
J-j3R7fKac0,auptitcafe 2023 05 26,https://youtu.be/J-j3R7fKac0,2023-06-02,194,72,,
t6tDH8qaVSA,😋 Au p'tit café - AGI waitress (a suno-ai/bark experience 🐶),https://youtu.be/t6tDH8qaVSA,2023-05-31,1883,187,2,
Fy4o0Sfq7eg,😋 Au p'tit café (pypi package intro) 🚀,https://youtu.be/Fy4o0Sfq7eg,2023-05-24,667,34,,
4LCZbkkCyfQ,Active Directory groups analysis Neo4J Bloom,https://youtu.be/4LCZbkkCyfQ,2023-05-16,232,99,,
hatIPuXVnPE,Active Directory group analysis on Neo4J (Teaser),https://youtu.be/hatIPuXVnPE,2023-05-14,5,18,,
2aMK7LLAv2E,Enterprise Digital identties on Neo4J - Intro,https://youtu.be/2aMK7LLAv2E,2023-05-09,311,25,,
KWaId5i88Ks,Enterprise Digital identties on Neo4J - Demo,https://youtu.be/KWaId5i88Ks,2023-05-09,217,12,,
wAg_5xu-w48,Enterprise Digital identties on Neo4J - Teaser,https://youtu.be/wAg_5xu-w48,2023-05-08,7,6,,
_RV1JTkCcKk,(Kafka) Producer file demo,https://youtu.be/_RV1JTkCcKk,2023-05-03,383,76,1,
F7nlv_nigaw,Unleash Neo4j's ninjas data w. Kaggle notebook (intro),https://youtu.be/F7nlv_nigaw,2023-05-01,2079,42,,
jYEw2D8wya8,☕ tea.xyz (the short intro),https://youtu.be/jYEw2D8wya8,2023-04-24,1778,71,,
hURvEy-O2oc,Sankey Diagram for efficient GitHub issue reporting,https://youtu.be/hURvEy-O2oc,2023-04-12,419,26,,
hNfd7CmYAQo,DEV.TO stickers unboxing,https://youtu.be/hNfd7CmYAQo,2023-04-06,79,35,2,
2tWFPIPBZM4,🐋 Monitor Dockerhub popularity on Kaggle 📈,https://youtu.be/2tWFPIPBZM4,2023-04-05,1687,69,1,
vBtrOEFvHl4,📢 Oracle Database on endoflife.date 🚀,https://youtu.be/vBtrOEFvHl4,2023-03-22,1077,30,,
A3-CXrOEumM,🦆 DuckDb on tea.xyz 🍵,https://youtu.be/A3-CXrOEumM,2023-03-17,187,56,,
M6awjGe7sMk,🙀 ChatGPT m'aide à aller à la plage à Nouméa 🏖️,https://youtu.be/M6awjGe7sMk,2023-03-09,416,50,1,
2tTqo1TZCyA,"Gitlab  full analysis - End of Life, grype, eol, xeol",https://youtu.be/2tTqo1TZCyA,2023-03-01,3019,83,,
UoLvRw8v6Rk,"Entretien avec ChatGPT : Smart Cities,Citizen Developers, APIs & Open Data",https://youtu.be/UoLvRw8v6Rk,2023-02-25,757,34,1,
sw3K7vkgDVc,Behind the scene  Domaine Nc Mobile : Déploiement continu avec Fastlane/Flutter,https://youtu.be/sw3K7vkgDVc,2023-02-21,762,58,,
wD2mH2LMrP0,Domaine NC mobile v1.3.0,https://youtu.be/wD2mH2LMrP0,2023-02-20,459,34,,
7Cu0saF6Ce4,📢 SQLite has landed on endoflife.date 🦏,https://youtu.be/7Cu0saF6Ce4,2023-02-16,600,34,,
YmRxsOLqC7s,Implement a stack management workflow ... with endoflife.date on GitHub,https://youtu.be/YmRxsOLqC7s,2023-02-13,1478,79,,
Exr_csN1Epc,🚀 DOMAINE.nc on Neo4J Auradb - NeoDash Dashboard Gallery 🎨,https://youtu.be/Exr_csN1Epc,2023-02-06,230,47,,
