id,title,author,url,isbn,rating,average_rating,num_pages,date_read,published_year,shelf
13078769,Running Lean: Iterate from Plan A to a Plan That Works (Lean Series),Ash Maurya,https://www.goodreads.com/review/show/3629672487?utm_medium=api&utm_source=rss,1449305172,5,4.10,235,2020-11-14,2012,read
43190851,The Hundred-Page Machine Learning Book,Andriy Burkov,https://www.goodreads.com/review/show/3637015335?utm_medium=api&utm_source=rss,,0,4.25,159,,,read
277950,Hagakure: The Book of the Samurai,Yamamoto Tsunetomo,https://www.goodreads.com/review/show/3631132758?utm_medium=api&utm_source=rss,4770029160,5,4.05,192,2000-01-13,1716,read
15799151,Daily Rituals: How Artists Work,Mason Currey,https://www.goodreads.com/review/show/3631130957?utm_medium=api&utm_source=rss,0307273601,4,3.67,278,2019-11-06,2013,read
24468085,Guide pratique des 5S et du management visuel : Pour les managers et les encadrants: Pour les managers et les encadrants. L'ouitl de base de la performance ... outils - Performance) (French Edition),Christian Hohmann,https://www.goodreads.com/review/show/3631127172?utm_medium=api&utm_source=rss,2212867077,5,5.00,370,2019-05-06,2010,read
28195713,Méthodes de design UX: 30 méthodes fondamentales pour concevoir et évaluer les systèmes interactifs (Design web) (French Edition),Carine Lallemand,https://www.goodreads.com/review/show/3631126092?utm_medium=api&utm_source=rss,,4,4.69,807,2020-07-06,,read
43985260,Ethique du samouraï moderne: Petit manuel de combat pour temps de désarroi (French Edition),Patrice Franceschi,https://www.goodreads.com/review/show/3631121102?utm_medium=api&utm_source=rss,,5,4.00,183,2020-06-04,,read
37867963,Trouver son Ikigai (French Edition),Christie Vanbremeersch,https://www.goodreads.com/review/show/3631119302?utm_medium=api&utm_source=rss,2412036411,3,3.16,192,2020-07-04,,read
25204011,Open innovation : Développez une culture ouverte et collaborative pour mieux innover (Stratégies et management) (French Edition),Martin Duval,https://www.goodreads.com/review/show/3629447845?utm_medium=api&utm_source=rss,,5,4.00,225,2020-04-05,2014,read
35654633,Liberté & cie,Isaac Getz,https://www.goodreads.com/review/show/3629443080?utm_medium=api&utm_source=rss,2081379511,5,4.25,483,2020-04-05,2012,read
8038126,"Employees First, Customers Second: Turning Conventional Management Upside Down",Vineet Nayar,https://www.goodreads.com/review/show/3629439434?utm_medium=api&utm_source=rss,1422139069,5,3.82,208,2020-11-05,2010,read
