slug,name,version,url,summary,released_at,requires_python,keywords
aquavena-sdk,aquavena-sdk,0.1.0,https://pypi.org/project/aquavena-sdk/,SDK Python pour scraper les régimes alimentaires Aquavena (Nouvelle-Calédonie),2026-05-24,>=3.13,"aquavena,nouvelle-calédonie,menus,régime,scraper,cli"
edb-noumea,edb-noumea,0.4.0,https://pypi.org/project/edb-noumea/,Scraper pour la qualité des eaux de baignade à Nouméa.,2026-05-17,,
auptitcafe,auptitcafe,0.2.0,https://pypi.org/project/auptitcafe/,SDK pour interagir avec http://auptitcafe.nc/menu/,2025-12-13,"<4.0,>=3.9",
